elevator.3	timeout	5s		5.01
elevator.4	timeout	5s		5.01
elevator.5	timeout	5s		5.01
elevator_planning.2	timeout	5s		5.01
elevator_planning.3	run-ok	52496	42	0.07
exit.1	run-ok	3239334	4405	1.22
exit.2	run-ok	33670	2311	0.38
exit.3	timeout	5s		5.01
exit.4	timeout	5s		5.01
exit.5	run-ok	833226	2625	2.84
extinction.1	run-ok	8993	1551	0.09
extinction.2	run-ok	10061	3554	0.14
extinction.3	run-ok	751930	5203	0.80
extinction.4	run-ok	2001372	6554	3.51
firewire_link.1	run-ok	1724	511	0.08
firewire_link.2	run-ok	55887	3361	0.87
firewire_link.3	timeout	5s		5.01
firewire_link.4	run-ok	24330	2048	0.58
firewire_link.5	timeout	5s		5.01
firewire_link.6	timeout	5s		5.01
firewire_link.7	run-ok	399598	7851	3.77
firewire_tree.1	run-ok	272	2197	0.09
firewire_tree.2	run-ok	2441	1679	0.14
firewire_tree.3	timeout	5s		5.01
firewire_tree.4	timeout	5s		5.01
firewire_tree.5	timeout	5s		5.01
fischer.1	run-ok	634	141	0.03
fischer.2	run-ok	21733	163	0.08
fischer.3	run-ok	2896705	375	2.22
fischer.4	run-ok	1272254	1375	0.21
fischer.5	timeout	5s		5.02
fischer.6	run-ok	8321728	2208	0.52
fischer.7	timeout	5s		5.01
frogs.1	run-ok	5094	1653	0.12
frogs.2	run-ok	18207	3522	0.12
frogs.3	run-ok	760789	9740	2.85
frogs.4	timeout	5s		5.01
gear.1	run-ok	2689	267	0.07
gear.2	run-ok	16689	317	0.26
hanoi.1	run-ok	6561	13914	0.85
hanoi.2	timeout	5s		5.01
hanoi.3	timeout	5s		5.01
hanoi.4	timeout	5s		5.01
iprotocol.1	run-ok	6814	377	0.05
iprotocol.2	run-ok	29994	1174	0.11
iprotocol.3	run-ok	1013456	15141	3.91
iprotocol.4	timeout	5s		5.01
iprotocol.5	timeout	5s		5.01
iprotocol.6	timeout	5s		5.01
iprotocol.7	timeout	5s		5.01
krebs.1	run-ok	6027	1218	0.04
krebs.2	run-ok	62476	3532	0.07
krebs.3	run-ok	238876	12086	0.17
krebs.4	run-ok	1047405	16676	0.32
lamport.1	run-ok	29242	568	0.09
lamport.2	run-ok	110920	1969	0.46
lamport.3	run-ok	38067	658	0.12
lamport.5	run-ok	1066800	4349	1.77
lamport.6	timeout	5s		5.01
lamport.7	timeout	5s		5.01
lamport.8	timeout	5s		5.01
lamport_nonatomic.1	run-ok	20434	357	0.11
lamport_nonatomic.2	run-ok	12958	418	0.10
lamport_nonatomic.3	run-ok	36983	377	0.13
lamport_nonatomic.4	run-ok	1257304	1306	2.06
lamport_nonatomic.5	timeout	5s		5.01
lann.1	run-ok	18424	1552	0.16
lann.2	run-ok	12784	448	0.05
lann.3	run-ok	1832139	1169	1.35
lann.4	run-ok	966855	25777	3.39
lann.5	run-ok	993914	1574	0.26
lann.6	timeout	5s		5.01
lann.7	timeout	5s		5.01
lann.8	timeout	5s		5.01
leader_election.1	run-ok	14252	1434	0.14
leader_election.2	run-ok	28720	4950	0.53
leader_election.3	run-ok	101360	2737	0.35
leader_election.4	run-ok	746240	5477	1.09
leader_election.5	run-ok	4803952	7345	3.15
leader_election.6	timeout	5s		5.01
leader_filters.1	run-ok	4966	642	0.05
leader_filters.2	run-ok	29284	892	0.07
leader_filters.3	run-ok	91093	2350	0.11
leader_filters.4	run-ok	50025	739	0.06
leader_filters.5	run-ok	1572886	11450	1.04
leader_filters.6	timeout	5s		5.01
leader_filters.7	timeout	5s		5.02
lifts.1	run-ok	2661	2337	0.13
lifts.2	run-ok	2664	2352	0.13
lifts.3	run-ok	30772	14406	1.98
lifts.4	run-ok	112792	16647	4.31
lifts.5	timeout	5s		5.01
lifts.6	timeout	5s		5.01
lifts.7	timeout	5s		5.01
lifts.8	timeout	5s		5.01
loyd.1	run-ok	720	328	0.04
loyd.2	run-ok	362880	3761	1.02
loyd.3	timeout	5s		5.02
lup.1	run-ok	1404	58	0.04
lup.2	run-ok	495720	275	0.08
lup.3	run-ok	1948617	352	0.10
lup.4	run-ok	7479540	438	0.12
mcs.1	run-ok	7963	648	0.07
mcs.2	run-ok	1408	218	0.04
mcs.3	run-ok	571459	4114	0.97
mcs.4	run-ok	16384	643	0.05
mcs.5	timeout	5s		5.01
mcs.6	run-ok	332544	2653	0.12
msmie.1	run-ok	2334	133	0.04
msmie.2	run-ok	10558	169	0.05
msmie.3	run-ok	134844	262	0.08
msmie.4	run-ok	7125441	438	0.24
needham.1	run-ok	497	428	0.04
needham.2	run-ok	54976	3064	0.15
needham.3	run-ok	206925	6234	0.52
needham.4	timeout	5s		5.01
peg_solitaire.1	run-ok	32181	5559	0.37
peg_solitaire.2	timeout	5s		5.02
peg_solitaire.3	timeout	5s		5.02
peg_solitaire.4	timeout	5s		5.02
peg_solitaire.5	timeout	5s		5.01
peg_solitaire.6	timeout	5s		5.02
peterson.1	run-ok	12498	604	0.07
peterson.2	run-ok	124704	899	0.09
peterson.3	run-ok	170156	1143	0.11
peterson.4	run-ok	1119560	4219	2.35
peterson.5	timeout	5s		5.02
peterson.6	timeout	5s		5.02
peterson.7	timeout	5s		5.01
pgm_protocol.1	run-ok	10175	19554	1.54
pgm_protocol.2	run-ok	17096	38438	2.55
pgm_protocol.3	timeout	5s		5.01
pgm_protocol.4	timeout	5s		5.01
pgm_protocol.5	timeout	5s		5.01
pgm_protocol.6	timeout	5s		5.01
pgm_protocol.7	timeout	5s		5.01
pgm_protocol.8	timeout	5s		5.01
phils.1	run-ok	80	31	0.03
phils.2	run-ok	581	77	0.03
phils.3	run-ok	729	44	0.03
phils.4	run-ok	340789	218	0.10
phils.5	run-ok	531440	113	0.07
phils.6	run-ok	14348906	143	0.11
phils.7	run-ok	71934773	436	0.38
phils.8	run-ok	43046720	153	0.13
pouring.1	run-ok	503	63	0.08
pouring.2	run-ok	51624	12	0.69
production_cell.1	run-ok	14586	1131	0.09
production_cell.2	run-ok	9003	406	0.07
production_cell.3	run-ok	822612	16388	2.29
production_cell.4	run-ok	340685	3967	0.95
production_cell.5	timeout	5s		5.01
production_cell.6	timeout	5s		5.02
protocols.1	run-ok	2430	37	0.03
protocols.2	run-ok	11286	306	0.04
protocols.3	run-ok	2817	187	0.03
protocols.4	run-ok	439245	1387	0.08
protocols.5	run-ok	996345	2081	0.18
public_subscribe.1	run-ok	580	505	0.05
public_subscribe.2	timeout	5s		5.01
public_subscribe.3	timeout	5s		5.01
public_subscribe.4	timeout	5s		5.01
public_subscribe.5	timeout	5s		5.01
reader_writer.1	run-ok	2666	65	0.03
reader_writer.2	run-ok	4104	82	0.04
reader_writer.3	run-ok	604498	143	0.07
resistance.1	timeout	5s		5.06
resistance.2	timeout	5s		5.04
rether.1	run-ok	2458	1229	0.09
rether.2	run-ok	9278	5295	0.37
rether.3	timeout	5s		5.01
rether.4	timeout	5s		5.01
rether.5	timeout	5s		5.01
rether.6	timeout	5s		5.01
rether.7	timeout	5s		5.01
rushhour.1	run-ok	1048	15642	0.18
rushhour.2	run-ok	2242	39631	0.48
rushhour.3	timeout	5s		5.01
rushhour.4	timeout	5s		5.01
sokoban.1	run-ok	91453	8081	1.89
sokoban.2	run-ok	761633	16959	3.71
sokoban.3	timeout	5s		5.01
sorter.1	run-ok	20544	1394	0.19
sorter.2	run-ok	7592	667	0.13
sorter.3	timeout	5s		5.01
sorter.4	timeout	5s		5.01
sorter.5	run-ok	296148	3357	4.60
synapse.1	run-ok	46756	3117	0.40
synapse.2	run-ok	61048	2639	0.32
synapse.3	run-ok	390317	6096	0.98
synapse.4	run-ok	2292286	8482	1.48
synapse.5	run-ok	83263	8614	1.95
synapse.6	timeout	5s		5.01
synapse.7	timeout	5s		5.01
szymanski.1	run-ok	20264	855	0.15
szymanski.2	run-ok	31875	967	0.17
szymanski.3	timeout	5s		5.01
szymanski.4	timeout	5s		5.01
szymanski.5	timeout	5s		5.01
telephony.1	run-ok	1280	134	0.05
telephony.2	run-ok	51826	756	0.20
telephony.3	run-ok	765379	2965	1.81
telephony.4	timeout	5s		5.01
telephony.5	timeout	5s		5.01
telephony.6	timeout	5s		5.01
telephony.7	timeout	5s		5.01
telephony.8	timeout	5s		5.01
