seed	policy	jump	verdict	rounds	cex	abs_states	ms
26	cheapest	off	violation	1	0	2	3
26	cheapest	on	violation	1	0	2	4
27	all	off	violation	1	0	2	3
27	all	on	violation	1	0	2	2
27	first	off	violation	1	0	2	4
27	first	on	violation	1	0	2	3
27	cheapest	off	violation	1	0	2	2
27	cheapest	on	violation	1	0	2	2
28	all	off	violation	1	0	2	4
28	all	on	violation	1	0	2	2
28	first	off	violation	1	0	2	3
28	first	on	violation	1	0	2	2
28	cheapest	off	violation	1	0	2	1
28	cheapest	on	violation	1	0	2	3
29	all	off	violation	2	0	2	4
29	all	on	violation	2	0	2	3
29	first	off	violation	2	0	2	4
29	first	on	violation	2	0	2	2
29	cheapest	off	violation	2	0	2	4
29	cheapest	on	violation	2	0	2	4
30	all	off	violation	1	0	2	4
30	all	on	violation	1	0	2	4
30	first	off	violation	1	0	2	4
30	first	on	violation	1	0	2	4
30	cheapest	off	violation	1	0	2	3
30	cheapest	on	violation	1	0	2	3
31	all	off	violation	1	0	2	3
31	all	on	violation	1	0	2	2
31	first	off	violation	1	0	2	3
31	first	on	violation	1	0	2	3
31	cheapest	off	violation	1	0	2	2
31	cheapest	on	violation	1	0	2	2
32	all	off	violation	1	0	2	1
32	all	on	violation	1	0	2	2
32	first	off	violation	1	0	2	3
32	first	on	violation	1	0	2	2
32	cheapest	off	violation	1	0	2	4
32	cheapest	on	violation	1	0	2	2
33	all	off	violation	1	0	3	2
33	all	on	violation	1	0	3	2
33	first	off	violation	1	0	3	2
33	first	on	violation	1	0	3	2
33	cheapest	off	violation	1	0	3	1
33	cheapest	on	violation	1	0	3	2
34	all	off	violation	1	0	4	2
34	all	on	violation	1	0	4	2
34	first	off	violation	1	0	4	1
34	first	on	violation	1	0	4	3
34	cheapest	off	violation	1	0	4	3
34	cheapest	on	violation	1	0	4	3
35	all	off	holds	2	0	1	1
35	all	on	holds	2	0	1	2
35	first	off	holds	2	0	1	3
35	first	on	holds	2	0	1	4
35	cheapest	off	holds	2	0	1	3
35	cheapest	on	holds	2	0	1	3
36	all	off	holds	3	0	1	4
36	all	on	holds	3	0	1	3
36	first	off	holds	3	0	1	3
36	first	on	holds	3	0	1	4
36	cheapest	off	holds	3	0	1	3
36	cheapest	on	holds	3	0	1	4
37	all	off	holds	2	0	1	3
37	all	on	holds	2	0	1	3
37	first	off	holds	2	0	3	4
37	first	on	holds	2	0	3	3
37	cheapest	off	holds	2	0	3	4
37	cheapest	on	holds	2	0	3	3
38	all	off	violation	2	0	3	3
38	all	on	violation	2	0	3	3
38	first	off	violation	2	0	3	4
38	first	on	violation	2	0	3	3
38	cheapest	off	violation	2	0	3	2
38	cheapest	on	violation	2	0	3	3
39	all	off	violation	1	0	2	3
39	all	on	violation	1	0	2	3
39	first	off	violation	1	0	2	2
39	first	on	violation	1	0	2	3
39	cheapest	off	violation	1	0	2	2
39	cheapest	on	violation	1	0	2	2
40	all	off	violation	1	0	2	2
40	all	on	violation	1	0	2	2
40	first	off	violation	1	0	2	2
40	first	on	violation	1	0	2	2
40	cheapest	off	violation	1	0	2	3
40	cheapest	on	violation	1	0	2	2
41	all	off	violation	1	0	2	1
41	all	on	violation	1	0	2	2
41	first	off	violation	1	0	2	2
41	first	on	violation	1	0	2	2
41	cheapest	off	violation	1	0	2	4
41	cheapest	on	violation	1	0	2	2
42	all	off	violation	1	0	2	3
42	all	on	violation	1	0	2	4
42	first	off	violation	1	0	2	3
42	first	on	violation	1	0	2	2
42	cheapest	off	violation	1	0	2	2
42	cheapest	on	violation	1	0	2	2
43	all	off	violation	1	0	2	1
43	all	on	violation	1	0	2	2
43	first	off	violation	1	0	2	3
43	first	on	violation	1	0	2	3
43	cheapest	off	violation	1	0	2	3
43	cheapest	on	violation	1	0	2	3
44	all	off	holds	3	0	1	2
44	all	on	holds	3	0	1	2
44	first	off	holds	3	0	1	3
44	first	on	holds	3	0	1	2
44	cheapest	off	holds	3	0	1	3
44	cheapest	on	holds	3	0	1	3
45	all	off	violation	1	0	2	2
45	all	on	violation	1	0	2	3
45	first	off	violation	1	0	2	2
45	first	on	violation	1	0	2	3
45	cheapest	off	violation	1	0	2	4
45	cheapest	on	violation	1	0	2	3
46	all	off	violation	1	0	2	3
46	all	on	violation	1	0	2	3
46	first	off	violation	1	0	2	2
46	first	on	violation	1	0	2	3
46	cheapest	off	violation	1	0	2	1
46	cheapest	on	violation	1	0	2	2
47	all	off	violation	1	0	2	2
47	all	on	violation	1	0	2	2
47	first	off	violation	1	0	2	2
47	first	on	violation	1	0	2	2
47	cheapest	off	violation	1	0	2	2
47	cheapest	on	violation	1	0	2	2
48	all	off	violation	2	0	2	3
48	all	on	violation	2	0	2	2
48	first	off	violation	2	0	2	3
48	first	on	violation	2	0	2	3
48	cheapest	off	violation	2	0	2	2
48	cheapest	on	violation	2	0	2	3
49	all	off	violation	1	0	3	2
49	all	on	violation	1	0	3	2
49	first	off	violation	1	0	3	2
49	first	on	violation	1	0	3	1
49	cheapest	off	violation	1	0	3	2
49	cheapest	on	violation	1	0	3	2
50	all	off	violation	1	0	3	2
50	all	on	violation	1	0	3	3
50	first	off	violation	1	0	3	2
50	first	on	violation	1	0	3	2
50	cheapest	off	violation	1	0	3	3
50	cheapest	on	violation	1	0	3	2
