system	subject	status	verdict	sym_verdict	agree	certcheck	rounds	cex	budget	rungs_c/i/e	inv	abs_states	witness_len	sym_states	xreach_states	ns_search/replay/refine	wall_ms_cegar/sym/xpl
smokers	smokers4_table_lock_unlock	ok	holds	holds	yes	pass	2	48	122	4/0/2	1696	1696	-	209	209	11023305/467/454552497	511/43/44
smokers	smokers5_correct_assembly	ok	holds	holds	yes	pass	7	163	195	0/0/7	334	334	-	334	334	5140887/2383/10913568911	11027/63/63
smokers	smokers5_mutual_exclusion_a1_a2	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	334	334	-	15013/49/46
smokers	smokers5_mutual_exclusion	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	334	334	-	15012/49/49
smokers	smokers5_put_pieces_assemble_item	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	334	334	-	15013/47/50
smokers	smokers5_put_take_1	ok	holds	holds	yes	pass	2	78	195	5/0/2	1024	1024	-	334	334	12760001/393/10863644411	10974/54/51
smokers	smokers5_table_lock_unlock	ok	holds	holds	yes	pass	2	88	195	5/0/2	5760	5760	-	334	334	115852131/397/10909713235	11144/65/68
smokers	smokers6_mutual_exclusion_a1_a2	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	494	494	-	15016/75/69
smokers	smokers6_put_take_1	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	494	494	-	15017/80/88
smokers	smokers6_table_lock_unlock	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	494	494	-	15018/106/114
