instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
Sudoku-PT-BN01	CTLC	2	0.04	79864	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLF	8	0.03	80016	16	16	0	0	2/6	rc=0
Sudoku-PT-AN01	CTLF	2	0.04	79888	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLF	2	0.03	79624	16	16	0	0		rc=0
ERK-PT-000001	CTLF	13	0.04	79636	16	16	0	0		rc=0
ERK-PT-000001	CTLC	13	0.03	80112	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLC	2	0.04	79896	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLC	8	0.04	79796	16	16	0	0	2/6	rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	80268	16	16	0	0	2/8	rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80116	16	16	0	0	1/6	rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80060	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80096	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80096	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80264	16	16	0	0	1/6	rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	80060	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80124	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.03	80096	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLC	35	0.03	80268	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.03	80268	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLF	35	0.04	80672	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLC	57	0.04	80604	16	16	0	0	12/66	rc=0
StigmergyElection-PT-02a	CTLF	57	0.04	80608	16	16	0	0	12/66	rc=0
SupplyChain-PT-00002	CTLF	50	0.04	80492	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLC	50	0.05	80752	16	16	0	0		rc=0
ResAllocation-PT-R003C003	CTLF	92	0.03	80460	16	16	0	0	3/12	rc=0
ResAllocation-PT-R003C003	CTLC	92	0.04	80560	16	16	0	0	3/12	rc=0
RobotManipulation-PT-00001	CTLC	110	0.04	80492	16	16	0	0		rc=0
RobotManipulation-PT-00001	CTLF	110	0.04	80508	16	16	0	0		rc=0
ResAllocation-PT-R005C002	CTLF	112	0.04	80596	16	16	0	0	2/12	rc=0
ResAllocation-PT-R005C002	CTLC	112	0.05	80748	16	16	0	0	2/12	rc=0
Angiogenesis-PT-01	CTLF	110	0.06	80592	16	16	0	0	2/64	rc=0
Angiogenesis-PT-01	CTLC	110	0.07	81092	16	16	0	0	2/64	rc=0
CircadianClock-PT-000001	CTLC	128	0.03	80404	16	16	0	0		rc=0
CircadianClock-PT-000001	CTLF	128	0.03	80092	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLF	153	0.06	80432	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLC	153	0.08	81044	16	16	0	0		rc=0
CopsAndRobbers-PT-CRL005X001	CTLF	166	0.08	81352	16	16	0	0	16/39	rc=0
CopsAndRobbers-PT-CRL005X001	CTLC	166	0.11	82240	16	16	0	0	16/39	rc=0
ShieldRVs-PT-001A	CTLC	171	0.06	81084	16	16	0	0	14/22	rc=0
ShieldRVs-PT-001A	CTLF	171	0.06	81612	16	16	0	0	14/22	rc=0
CircularTrains-PT-012	CTLC	195	0.09	81420	16	16	0	0		rc=0
TokenRing-PT-005	CTLC	166	0.17	83048	16	16	0	0	156/156	rc=0
TokenRing-PT-005	CTLF	166	0.17	86924	16	16	0	0	156/156	rc=0
CircularTrains-PT-012	CTLF	195	0.08	81568	16	16	0	0		rc=0
DoubleExponent-PT-001	CTLC	149	0.24	83616	16	16	0	0	8/48	rc=0
DoubleExponent-PT-001	CTLF	149	0.26	83940	16	16	0	0	8/48	rc=0
IOTPpurchase-PT-C01M01P01D01	CTLF	204	0.10	81568	16	16	0	0		rc=0
StigmergyElection-PT-03a	CTLC	227	0.05	81040	16	16	0	0	18/118	rc=0
StigmergyElection-PT-03a	CTLF	227	0.04	80760	16	16	0	0	18/118	rc=0
AutonomousCar-PT-01a	CTLC	227	0.06	81296	16	16	0	0	10/35	rc=0
