instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
CopsAndRobbers-PT-KFL010N005K002X001	CTLF	620	0.33	87676	16	16	0	0	50/93	rc=0
SieveSingleMsgMbox-PT-d0m04	CTLC	702	0.26	89432	16	16	0	0	16/73	rc=0
StigmergyElection-PT-04a	CTLF	977	0.06	82040	16	16	0	0	24/218	rc=0
StigmergyElection-PT-04a	CTLC	977	0.06	81860	16	16	0	0	24/218	rc=0
DrinkVendingMachine-PT-02	CTLC	1024	0.06	82172	16	16	0	0		rc=0
DrinkVendingMachine-PT-02	CTLF	1024	0.06	81848	16	16	0	0		rc=0
CopsAndRobbers-PT-KFL010N005K002X001	CTLC	620	0.54	90184	16	16	0	0	50/93	rc=0
SieveSingleMsgMbox-PT-d0m04	CTLF	702	0.47	94144	16	16	0	0	16/73	rc=0
QuasiCertifProtocol-PT-02	CTLF	1029	0.18	85068	16	16	0	0	26/56	rc=0
RwMutex-PT-r0010w0010	CTLC	1034	0.24	82040	16	16	0	0		rc=0
QuasiCertifProtocol-PT-02	CTLC	1029	0.26	85952	16	16	0	0	26/56	rc=0
RwMutex-PT-r0010w0010	CTLF	1034	0.29	82128	16	16	0	0		rc=0
UtilityControlRoom-PT-Z2T4N02	CTLC	1092	0.08	82600	16	16	0	0		rc=0
NeoElection-PT-2	CTLF	241	1.28	99860	16	16	0	0	5/357	rc=0
NeoElection-PT-2	CTLC	241	1.37	103324	16	16	0	0	5/357	rc=0
UtilityControlRoom-PT-Z2T4N02	CTLF	1092	0.08	82544	16	16	0	0		rc=0
RwMutex-PT-r0010w0050	CTLC	1074	0.33	84424	16	16	0	0		rc=0
ResAllocation-PT-R003C005	CTLC	1200	0.06	82592	16	16	0	0	5/20	rc=0
ResAllocation-PT-R003C005	CTLF	1200	0.08	82620	16	16	0	0	5/20	rc=0
ShieldIIPt-PT-001A	CTLC	1281	0.03	80940	16	16	0	0		rc=0
ShieldIIPt-PT-001A	CTLF	1281	0.04	81196	16	16	0	0		rc=0
GPUForwardProgress-PT-04a	CTLC	1373	0.05	81280	16	16	0	0	5/29	rc=0
GPUForwardProgress-PT-04a	CTLF	1373	0.06	81548	16	16	0	0	5/29	rc=0
RwMutex-PT-r0010w0050	CTLF	1074	0.46	86176	16	16	0	0		rc=0
RobotManipulation-PT-00002	CTLC	1430	0.09	82740	16	16	0	0		rc=0
RobotManipulation-PT-00002	CTLF	1430	0.07	82004	16	16	0	0		rc=0
HouseConstruction-PT-00002	CTLC	1501	0.08	82720	16	16	0	0	1/18	rc=0
HouseConstruction-PT-00002	CTLF	1501	0.08	83152	16	16	0	0	1/18	rc=0
RwMutex-PT-r0010w0020	CTLF	1044	0.92	83588	16	16	0	0		rc=0
RwMutex-PT-r0010w0020	CTLC	1044	1.15	84232	16	16	0	0		rc=0
Railroad-PT-005	CTLC	1838	0.22	85436	16	16	0	0	6/56	rc=0
Railroad-PT-005	CTLF	1838	0.22	86524	16	16	0	0	6/56	rc=0
SharedMemory-PT-000005	CTLC	1863	0.26	82492	16	16	0	0		rc=0
SharedMemory-PT-000005	CTLF	1863	0.18	81776	16	16	0	0		rc=0
FileSystem-PT-N02I05B05	CTLF	1632	0.93	99592	16	16	0	0		rc=0
Eratosthenes-PT-020	CTLC	2048	0.04	80764	16	16	0	0		rc=0
Eratosthenes-PT-020	CTLF	2048	0.04	80896	16	16	0	0		rc=0
FileSystem-PT-N02I05B05	CTLC	1632	1.86	110060	16	16	0	0		rc=0
RwMutex-PT-r0010w0100	CTLF	1124	59.00	95228	10	10	0	6		rc=0
RwMutex-PT-r0010w0100	CTLC	1124	59.00	94172	8	8	0	8		rc=0
AutonomousCar-PT-02a	CTLC	2314	0.16	86596	16	16	0	0	15/69	rc=0
AutonomousCar-PT-02a	CTLF	2314	0.16	86676	16	16	0	0	15/69	rc=0
RwMutex-PT-r0010w0500	CTLC	1524	59.02	132304	0	0	0	16		rc=0
RwMutex-PT-r0010w0500	CTLF	1524	59.02	132532	0	0	0	16		rc=0
RingSingleMessageInMbox-PT-d0m005	CTLC	2662	0.55	101196	16	16	0	0	22/59	rc=0
RwMutex-PT-r0010w1000	CTLC	2024	59.04	224908	0	0	0	16		rc=0
RwMutex-PT-r0010w1000	CTLF	2024	59.03	225024	0	0	0	16		rc=0
ServersAndClients-PT-100020	CTLC	2201	59.06	157584	0	0	0	16		rc=0
BridgeAndVehicles-PT-V04P05N02	CTLC	2874	0.74	97484	16	16	0	0	32/52	rc=0
ServersAndClients-PT-100020	CTLF	2201	59.07	157892	0	0	0	16		rc=0
BridgeAndVehicles-PT-V04P05N02	CTLF	2874	1.06	98864	16	16	0	0	32/52	rc=0
RingSingleMessageInMbox-PT-d0m005	CTLF	2662	2.14	144520	16	16	0	0	22/59	rc=0
FMS-PT-00002	CTLC	3444	0.04	80836	16	16	0	0		rc=0
FMS-PT-00002	CTLF	3444	0.04	80900	16	16	0	0		rc=0
ShieldRVs-PT-001B	CTLF	3596	2.32	101724	16	16	0	0	21/48	rc=0
ShieldRVs-PT-001B	CTLC	3596	2.77	106364	16	16	0	0	21/48	rc=0
IBM319-PT-none	CTLF	2482	6.93	124600	16	16	0	0	2/178	rc=0
IBM319-PT-none	CTLC	2482	7.35	113360	16	16	0	0	2/178	rc=0
DoubleExponent-PT-002	CTLF	3708	3.07	129392	16	16	0	0	21/98	rc=0
DNAwalker-PT-01track12Block1	CTLC	3795	0.19	86660	16	16	0	0	69/82	rc=0
DNAwalker-PT-01track12Block1	CTLF	3795	0.23	88832	16	16	0	0	69/82	rc=0
CloudOpsManagement-PT-00002by00001	CTLC	3857	0.04	80740	16	16	0	0	3/29	rc=0
CloudOpsManagement-PT-00002by00001	CTLF	3857	0.07	82324	16	16	0	0	3/29	rc=0
StigmergyCommit-PT-03a	CTLC	4055	0.20	85636	16	16	0	0	48/332	rc=0
StigmergyCommit-PT-03a	CTLF	4055	0.23	86828	16	16	0	0	48/332	rc=0
EGFr-PT-02010	CTLC	4200	0.13	86260	16	16	0	0	60/68	rc=0
EGFr-PT-02010	CTLF	4200	0.13	86052	16	16	0	0	60/68	rc=0
DoubleExponent-PT-002	CTLC	3708	5.50	144952	16	16	0	0	21/98	rc=0
SieveSingleMsgMbox-PT-d1m04	CTLC	3262	41.87	359716	16	16	0	0	26/749	rc=0
StigmergyElection-PT-05a	CTLC	4411	0.10	85068	16	16	0	0	30/450	rc=0
StigmergyElection-PT-05a	CTLF	4411	0.08	84744	16	16	0	0	30/450	rc=0
SafeBus-PT-03	CTLC	4650	0.26	88020	16	16	0	0	27/91	rc=0
SafeBus-PT-03	CTLF	4650	0.38	91308	16	16	0	0	27/91	rc=0
CloudDeployment-PT-2a	CTLC	4807	0.19	85272	16	16	0	0	22/174	rc=0
CloudDeployment-PT-2a	CTLF	4807	0.20	84964	16	16	0	0	22/174	rc=0
DNAwalker-PT-03track12BlockBoth	CTLC	5248	0.31	92200	16	16	0	0	71/84	rc=0
DNAwalker-PT-03track12BlockBoth	CTLF	5248	0.27	89876	16	16	0	0	71/84	rc=0
DNAwalker-PT-02track12Block2	CTLC	5459	0.28	89544	16	16	0	0	71/84	rc=0
DNAwalker-PT-02track12Block2	CTLF	5459	0.23	88400	16	16	0	0	71/84	rc=0
Dekker-PT-010	CTLC	6144	0.22	86980	16	16	0	0	10/120	rc=0
Dekker-PT-010	CTLF	6144	0.20	86356	16	16	0	0	10/120	rc=0
ResAllocation-PT-R010C002	CTLC	6144	0.28	96420	16	16	0	0	2/22	rc=0
ResAllocation-PT-R010C002	CTLF	6144	0.46	103640	16	16	0	0	2/22	rc=0
SieveSingleMsgMbox-PT-d1m04	CTLF	3262	47.81	169772	16	16	0	0	26/749	rc=0
RwMutex-PT-r0010w2000	CTLC	3024	59.08	527604	0	0	0	16		rc=0
AutoFlight-PT-02a	CTLC	6949	0.10	84052	16	16	0	0	10/55	rc=0
GlobalResAllocation-PT-03	CTLC	6320	12.46	157676	16	16	0	0		rc=0
RwMutex-PT-r0010w2000	CTLF	3024	59.08	527584	0	0	0	16		rc=0
AutoFlight-PT-02a	CTLF	6949	0.18	87380	16	16	0	0	10/55	rc=0
Raft-PT-02	CTLC	7381	0.05	81676	16	16	0	0	12/52	rc=0
Raft-PT-02	CTLF	7381	0.04	81004	16	16	0	0	12/52	rc=0
TwoPhaseLocking-PT-nC00020vD	CTLC	7006	0.33	90964	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00020vD	CTLF	7006	0.29	91388	16	16	0	0	1/6	rc=0
PhaseVariation-PT-D02CS010	CTLC	7716	0.22	87368	16	16	0	0		rc=0
CSRepetitions-PT-02	CTLC	7424	0.41	92560	16	16	0	0	16/28	rc=0
PhaseVariation-PT-D02CS010	CTLF	7716	0.31	90364	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00020vN	CTLC	7997	0.33	91332	16	16	0	0		rc=0
ShieldPPPt-PT-001A	CTLC	8001	0.05	81456	16	16	0	0		rc=0
CSRepetitions-PT-02	CTLF	7424	0.96	112460	16	16	0	0	16/28	rc=0
ShieldPPPt-PT-001A	CTLF	8001	0.05	82584	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00020vN	CTLF	7997	0.33	93196	16	16	0	0		rc=0
ShieldRVt-PT-003A	CTLC	8193	0.04	81172	16	16	0	0		rc=0
ShieldRVt-PT-003A	CTLF	8193	0.03	80832	16	16	0	0		rc=0
SieveSingleMsgMbox-PT-d2m04	CTLC	3601	59.05	1187532	11	11	0	5	14/1954	rc=0
SieveSingleMsgMbox-PT-d2m04	CTLF	3601	59.03	445312	9	9	0	7	14/1954	rc=0
ServersAndClients-PT-100040	CTLC	4201	59.05	235244	0	0	0	16		rc=0
ServersAndClients-PT-100040	CTLF	4201	59.05	235440	0	0	0	16		rc=0
PGCD-PT-D02N005	CTLC	8484	0.65	96428	16	16	0	0	3/9	rc=0
PGCD-PT-D02N005	CTLF	8484	0.38	90896	16	16	0	0	3/9	rc=0
ShieldIIPs-PT-001A	CTLC	9143	0.28	92024	16	16	0	0	14/27	rc=0
ShieldIIPs-PT-001A	CTLF	9143	0.33	93368	16	16	0	0	14/27	rc=0
GPPP-PT-C0001N0000000001	CTLC	10380	0.29	92492	16	16	0	0	1/22	rc=0
GPPP-PT-C0001N0000000001	CTLF	10380	0.27	89172	16	16	0	0	1/22	rc=0
CryptoMiner-PT-D03N010	CTLC	10636	0.20	86752	16	16	0	0	4/12	rc=0
CryptoMiner-PT-D03N010	CTLF	10636	0.24	87040	16	16	0	0	4/12	rc=0
Sudoku-PT-AN03	CTLC	11776	3.63	105452	16	16	0	0		rc=0
Sudoku-PT-AN03	CTLF	11776	2.20	114160	16	16	0	0		rc=0
IBM703-PT-none	CTLF	8370	17.99	266328	16	16	0	0	19/284	rc=0
DBSingleClientW-PT-d0m04	CTLC	13654	3.35	125068	16	16	0	0	87/150	rc=0
SupplyChain-PT-00005	CTLC	14258	1.13	99004	16	16	0	0		rc=0
IBM703-PT-none	CTLC	8370	24.16	266944	16	16	0	0	19/284	rc=0
SupplyChain-PT-00005	CTLF	14258	1.05	102832	16	16	0	0		rc=0
IBM5964-PT-none	CTLC	15546	1.63	110696	16	16	0	0	1/139	rc=0
PGCD-PT-D02N006	CTLC	15670	0.32	91128	16	16	0	0	3/9	rc=0
PGCD-PT-D02N006	CTLF	15670	0.26	88416	16	16	0	0	3/9	rc=0
IBM5964-PT-none	CTLF	15546	2.76	117788	16	16	0	0	1/139	rc=0
ShieldRVs-PT-002A	CTLC	16021	1.11	117904	16	16	0	0	30/41	rc=0
ShieldRVs-PT-002A	CTLF	16021	1.03	116772	16	16	0	0	30/41	rc=0
