instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
StigmergyCommit-PT-02a	CTLF	695	0.09	83160	16	16	0	0	36/204	rc=0
SimpleLoadBal-PT-02	CTLC	832	0.06	81564	16	16	0	0	13/45	rc=0
SimpleLoadBal-PT-02	CTLF	832	0.06	81432	16	16	0	0	13/45	rc=0
StigmergyElection-PT-04a	CTLC	977	0.09	82624	16	16	0	0	24/218	rc=0
SieveSingleMsgMbox-PT-d0m04	CTLC	702	0.12	86380	16	16	0	0	16/73	rc=0
StigmergyElection-PT-04a	CTLF	977	0.10	82888	16	16	0	0	24/218	rc=0
DrinkVendingMachine-PT-02	CTLF	1024	0.05	81536	16	16	0	0		rc=0
DrinkVendingMachine-PT-02	CTLC	1024	0.05	81712	16	16	0	0		rc=0
RwMutex-PT-r0010w0010	CTLC	1034	0.03	80928	16	16	0	0		rc=0
RwMutex-PT-r0010w0010	CTLF	1034	0.03	81056	16	16	0	0		rc=0
RwMutex-PT-r0010w0020	CTLC	1044	0.05	81668	16	16	0	0		rc=0
SieveSingleMsgMbox-PT-d0m04	CTLF	702	0.25	92856	16	16	0	0	16/73	rc=0
RwMutex-PT-r0010w0020	CTLF	1044	0.05	81504	16	16	0	0		rc=0
RwMutex-PT-r0010w0050	CTLC	1074	0.06	83064	16	16	0	0		rc=0
RwMutex-PT-r0010w0050	CTLF	1074	0.08	83388	16	16	0	0		rc=0
UtilityControlRoom-PT-Z2T4N02	CTLC	1092	0.07	81448	16	16	0	0		rc=0
UtilityControlRoom-PT-Z2T4N02	CTLF	1092	0.06	81580	16	16	0	0		rc=0
ResAllocation-PT-R003C005	CTLC	1200	0.05	82100	16	16	0	0	5/20	rc=0
QuasiCertifProtocol-PT-02	CTLF	1029	0.32	85376	16	16	0	0	26/56	rc=0
QuasiCertifProtocol-PT-02	CTLC	1029	0.33	85420	16	16	0	0	26/56	rc=0
ShieldIIPt-PT-001A	CTLC	1281	0.03	80740	16	16	0	0		rc=0
ResAllocation-PT-R003C005	CTLF	1200	0.07	82292	16	16	0	0	5/20	rc=0
RwMutex-PT-r0010w0100	CTLC	1124	0.18	89388	16	16	0	0		rc=0
ShieldIIPt-PT-001A	CTLF	1281	0.04	81264	16	16	0	0		rc=0
GPUForwardProgress-PT-04a	CTLC	1373	0.05	81172	16	16	0	0	5/29	rc=0
RwMutex-PT-r0010w0100	CTLF	1124	0.20	88476	16	16	0	0		rc=0
GPUForwardProgress-PT-04a	CTLF	1373	0.05	81780	16	16	0	0	5/29	rc=0
HouseConstruction-PT-00002	CTLC	1501	0.05	81204	16	16	0	0	1/18	rc=0
RobotManipulation-PT-00002	CTLF	1430	0.07	81884	16	16	0	0		rc=0
HouseConstruction-PT-00002	CTLF	1501	0.04	81332	16	16	0	0	1/18	rc=0
RobotManipulation-PT-00002	CTLC	1430	0.10	82400	16	16	0	0		rc=0
Railroad-PT-005	CTLC	1838	0.06	81928	16	16	0	0	6/56	rc=0
Railroad-PT-005	CTLF	1838	0.06	82164	16	16	0	0	6/56	rc=0
SharedMemory-PT-000005	CTLF	1863	0.17	82208	16	16	0	0		rc=0
SharedMemory-PT-000005	CTLC	1863	0.18	82696	16	16	0	0		rc=0
FileSystem-PT-N02I05B05	CTLF	1632	0.63	85412	16	16	0	0		rc=0
FileSystem-PT-N02I05B05	CTLC	1632	0.77	87112	16	16	0	0		rc=0
Eratosthenes-PT-020	CTLC	2048	0.03	80564	16	16	0	0		rc=0
Eratosthenes-PT-020	CTLF	2048	0.03	80752	16	16	0	0		rc=0
NeoElection-PT-2	CTLF	241	2.41	112400	16	16	0	0	5/357	rc=0
AutonomousCar-PT-02a	CTLC	2314	0.13	85336	16	16	0	0	15/69	rc=0
AutonomousCar-PT-02a	CTLF	2314	0.14	85536	16	16	0	0	15/69	rc=0
IBM319-PT-none	CTLC	2482	0.09	83968	16	16	0	0	2/178	rc=0
IBM319-PT-none	CTLF	2482	0.08	83812	16	16	0	0	2/178	rc=0
NeoElection-PT-2	CTLC	241	3.16	109512	16	16	0	0	5/357	rc=0
RingSingleMessageInMbox-PT-d0m005	CTLC	2662	0.36	102248	16	16	0	0	22/59	rc=0
RwMutex-PT-r0010w0500	CTLF	1524	2.68	147496	16	16	0	0		rc=0
BridgeAndVehicles-PT-V04P05N02	CTLC	2874	0.23	86204	16	16	0	0	32/52	rc=0
BridgeAndVehicles-PT-V04P05N02	CTLF	2874	0.34	88420	16	16	0	0	32/52	rc=0
RingSingleMessageInMbox-PT-d0m005	CTLF	2662	1.45	129732	16	16	0	0	22/59	rc=0
RwMutex-PT-r0010w0500	CTLC	1524	6.56	228684	16	16	0	0		rc=0
SieveSingleMsgMbox-PT-d1m04	CTLC	3262	4.85	261180	16	16	0	0	26/749	rc=0
FMS-PT-00002	CTLC	3444	0.03	80488	16	16	0	0		rc=0
FMS-PT-00002	CTLF	3444	0.03	80404	16	16	0	0		rc=0
ShieldRVs-PT-001B	CTLC	3596	0.14	85548	16	16	0	0	21/48	rc=0
ShieldRVs-PT-001B	CTLF	3596	0.15	85532	16	16	0	0	21/48	rc=0
SieveSingleMsgMbox-PT-d1m04	CTLF	3262	4.79	138888	16	16	0	0	26/749	rc=0
SieveSingleMsgMbox-PT-d2m04	CTLC	3601	9.41	864388	16	16	0	0	14/1954	rc=0
DoubleExponent-PT-002	CTLC	3708	0.65	94048	16	16	0	0	21/98	rc=0
DoubleExponent-PT-002	CTLF	3708	0.55	92332	16	16	0	0	21/98	rc=0
DNAwalker-PT-01track12Block1	CTLC	3795	0.14	85272	16	16	0	0	69/82	rc=0
DNAwalker-PT-01track12Block1	CTLF	3795	0.17	87432	16	16	0	0	69/82	rc=0
CloudOpsManagement-PT-00002by00001	CTLC	3857	0.03	80716	16	16	0	0	3/29	rc=0
CloudOpsManagement-PT-00002by00001	CTLF	3857	0.04	81088	16	16	0	0	3/29	rc=0
StigmergyCommit-PT-03a	CTLC	4055	0.30	88936	16	16	0	0	48/332	rc=0
StigmergyCommit-PT-03a	CTLF	4055	0.34	90016	16	16	0	0	48/332	rc=0
EGFr-PT-02010	CTLC	4200	0.10	84100	16	16	0	0	60/68	rc=0
EGFr-PT-02010	CTLF	4200	0.10	84124	16	16	0	0	60/68	rc=0
RwMutex-PT-r0010w1000	CTLF	2024	23.35	415852	16	16	0	0		rc=0
RwMutex-PT-r0010w1000	CTLC	2024	25.19	524584	16	16	0	0		rc=0
StigmergyElection-PT-05a	CTLC	4411	1.00	89620	16	16	0	0	30/450	rc=0
StigmergyElection-PT-05a	CTLF	4411	0.66	87748	16	16	0	0	30/450	rc=0
SafeBus-PT-03	CTLC	4650	0.55	87780	16	16	0	0	27/91	rc=0
SafeBus-PT-03	CTLF	4650	0.80	91872	16	16	0	0	27/91	rc=0
CloudDeployment-PT-2a	CTLC	4807	0.13	84068	16	16	0	0	22/174	rc=0
CloudDeployment-PT-2a	CTLF	4807	0.11	82968	16	16	0	0	22/174	rc=0
DNAwalker-PT-03track12BlockBoth	CTLC	5248	0.22	89308	16	16	0	0	71/84	rc=0
DNAwalker-PT-03track12BlockBoth	CTLF	5248	0.19	88684	16	16	0	0	71/84	rc=0
DNAwalker-PT-02track12Block2	CTLC	5459	0.17	87308	16	16	0	0	71/84	rc=0
DNAwalker-PT-02track12Block2	CTLF	5459	0.14	86456	16	16	0	0	71/84	rc=0
Dekker-PT-010	CTLC	6144	0.06	82496	16	16	0	0	10/120	rc=0
Dekker-PT-010	CTLF	6144	0.06	82224	16	16	0	0	10/120	rc=0
ResAllocation-PT-R010C002	CTLC	6144	0.10	85136	16	16	0	0	2/22	rc=0
ResAllocation-PT-R010C002	CTLF	6144	0.14	85856	16	16	0	0	2/22	rc=0
GlobalResAllocation-PT-03	CTLC	6320	1.34	158708	16	16	0	0		rc=0
SieveSingleMsgMbox-PT-d2m04	CTLF	3601	24.42	272160	16	16	0	0	14/1954	rc=0
AutoFlight-PT-02a	CTLC	6949	0.08	82888	16	16	0	0	10/55	rc=0
AutoFlight-PT-02a	CTLF	6949	0.14	85824	16	16	0	0	10/55	rc=0
TwoPhaseLocking-PT-nC00020vD	CTLC	7006	3.49	114708	16	16	0	0	1/6	rc=0
