full	AirplaneLD-PT-0010	RC	hscb	16	15	15	0	0	0.13	0	
full	AirplaneLD-PT-0010	RC	lp	16	11	11	0	0	0.01	0	
full	AirplaneLD-PT-0010	RF	hscb	16	16	16	0	0	0.19	0	
full	AirplaneLD-PT-0010	RF	lp	16	2	2	0	0	0.01	0	
full	AirplaneLD-PT-0020	RC	hscb	16	16	16	0	0	0.19	0	
full	AirplaneLD-PT-0020	RC	lp	16	12	12	0	0	0.01	0	
full	AirplaneLD-PT-0020	RF	hscb	16	16	16	0	0	0.72	0	
full	AirplaneLD-PT-0020	RF	lp	16	0	0	0	0	0.01	0	
full	AirplaneLD-PT-0050	RC	hscb	16	16	16	0	0	1.8	0	
full	AirplaneLD-PT-0050	RC	lp	16	11	11	0	0	0.02	0	
full	AirplaneLD-PT-0050	RF	hscb	16	16	16	0	0	3.66	0	
full	AirplaneLD-PT-0050	RF	lp	16	1	1	0	0	0.01	0	
full	AirplaneLD-PT-0100	RC	hscb	16	14	14	0	0	9.23	0	
full	AirplaneLD-PT-0100	RC	lp	16	14	14	0	0	0.02	0	
full	AirplaneLD-PT-0100	RF	hscb	16	14	14	0	0	13.04	0	
full	AirplaneLD-PT-0100	RF	lp	16	3	3	0	0	0.02	0	
full	AirplaneLD-PT-0200	RC	hscb	16	11	11	0	0	24.48	0	
full	AirplaneLD-PT-0200	RC	lp	16	11	11	0	0	0.06	0	
full	AirplaneLD-PT-0200	RF	hscb	16	3	3	0	0	60.03	124	
full	AirplaneLD-PT-0200	RF	lp	16	0	0	0	0	0.04	0	
full	AirplaneLD-PT-2000	RC	hscb	16	0	0	0	0	60.27	124	
full	AirplaneLD-PT-2000	RC	lp	16	8	8	0	0	0.99	0	
full	AirplaneLD-PT-2000	RF	hscb	16	0	0	0	0	60.28	124	
full	AirplaneLD-PT-2000	RF	lp	16	2	2	0	0	5.32	0	
full	Anderson-PT-04	RC	hscb	16	10	10	0	0	12.63	0	
full	Anderson-PT-04	RC	lp	16	5	5	0	0	0.02	0	
full	Anderson-PT-04	RF	hscb	16	5	5	0	0	22.5	0	
full	Anderson-PT-04	RF	lp	16	2	2	0	0	0.03	0	
full	Anderson-PT-05	RC	hscb	16	2	2	0	0	33.51	0	
full	Anderson-PT-05	RC	lp	16	3	3	0	0	0.08	0	
full	Anderson-PT-05	RF	hscb	16	3	3	0	0	28.39	0	
